#name	fraction_identities
cds:AAZ43387 A/Memphis/102/1972 1972// NP	0.97791
cds:ABA12777 A/Memphis/109/1972 1972// NP	0.97791
cds:ABB96356 A/Memphis/101/1974 1974// NP	0.97791
cds:ABD17327 A/Memphis/101/1972 1972// NP	0.97791
cds:ABD60794 A/Hong Kong/33/1973 1973// NP	0.97791
cds:ADT79000 A/Bilthoven/21438/1971 1971// NP	0.97791
cds:AAO46540 A/Queensland/7/70 1970// NP	0.97992
cds:AAO46545 A/Hungary/2/1971 1971// NP	0.97992
cds:BAA00035 A/Udorn/307/1972 1972// NP	0.98193
cds:ABB80027 A/Hong Kong/50/1972 1972// NP	0.98594
cds:AAO46544 A/Taiwan/3/71 1971// NP	0.98795
cds:ACF54459 A/Hong Kong/1-8-MA21-3/1968 1968// NP	0.98996
cds:AAO46535 A/England/878/1969 1969// NP	0.99197
cds:AAO46539 A/Taiwan/1/69 1969// NP	0.99197
cds:ABB54518 A/Memphis/1/1968 1968// NP	0.99197
cds:ABB80038 A/Hong Kong/3/1969 1969// NP	0.99197
cds:ABN51136 A/Albany/3/1969 1969// NP	0.99197
cds:ABO52372 A/Albany/6/1970 1970// NP	0.99197
cds:ACF54437 A/Hong Kong/1-6-MA21-2/1968 1968// NP	0.99197
cds:ACF54448 A/Hong Kong/1-8-MA21-1/1968 1968// NP	0.99197
cds:AAA43465 A/nt/60/1968 1968// NP	0.99398
cds:AAO46521 A/Georgia/122/68 1968// NP	0.99398
cds:AAO46524 A/Hawaii/2/68 1968// NP	0.99398
cds:AAO46543 A/Canada/2/70 1970// NP	0.99398
cds:AAX39500 A/Hong Kong/2/68 1968// NP	0.99398
cds:ACF41783 A/Hong Kong/1-11-MA21-1/1968 1968// NP	0.99398
cds:ACU79897 A/Hong Kong/1-5-MA21-3/1968 1968// NP	0.99398
cds:AAA51482 A/Beijing/1/1968 1968// NP	0.99594
cds:AAK51722 A/Hong Kong/1/1968 1968// NP	0.99598
cds:AAO46537 A/Rio/6/69 1969// NP	0.99598
cds:AAO46531 A/Philippines/3/68 1968// NP	0.99799
cds:ABC84393 A/Beijing/1/1968 1968// NP	0.99799
